staging_id,legacy_record_id,document_no,project_id,project_name,header_amount,line_rows,line_amount,target_model,action,reason
11318,d68d93e907f54300b86c836c36c17e59,RKD-20230922-012,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,95716.2,1,95716.2,sc.material.inbound,create_material_inbound,
11341,dddc84deec9d4b238e64f526797c23fa,RKD-20230908-001,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,93939.0,8,93939.00000000001,sc.material.inbound,create_material_inbound,
10827,28e6bbbfde6d47769a62c644f26de56f,RKD-20231102-001,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,267.0,1,267.0,sc.material.inbound,create_material_inbound,
10857,360665ec32fe4f509238736df36cd9eb,RKD-20231031-003,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,345.63,4,345.63,sc.material.inbound,create_material_inbound,
10937,5370b8e3b62842629a3ba883c5cebbbf,RKD-20231106-001,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,7.91,1,7.91,sc.material.inbound,create_material_inbound,
11201,ad6394ddeb5148b88c8d7987721d3d59,RKD-20230922-013,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,91200.0,1,91200.0,sc.material.inbound,create_material_inbound,
11280,ca6599a7445342948e9c17dd981317d3,RKD-20230922-028,811,三星堆环线基础设施改造,370700.0,4,370700.0,sc.material.inbound,create_material_inbound,
11356,e4b3cb85dc2649efaab3b62be9388456,RKD-20231102-003,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,54.09,1,54.09,sc.material.inbound,create_material_inbound,
11424,ff3fb60cb1cc42309dfbe35ab17b2d27,RKD-20231103-001,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,1893.32,5,1893.32,sc.material.inbound,create_material_inbound,
10892,451cf692d4554f19b59e821ea2924671,RKD-20230912-001,823,面粉厂等小区改造项目,24519.0,1,24519.0,sc.material.inbound,create_material_inbound,
11040,77047926ad6444d2abd072c4dc1ecc9a,RKD-20231108-005,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,123239.02,1,123239.02,sc.material.inbound,create_material_inbound,
11315,d5594027c5624ea3bb7f08498ada9f3f,RKD-20230912-009,811,三星堆环线基础设施改造,18130.0,2,18130.0,sc.material.inbound,create_material_inbound,
11333,dc158a3b01654f1692ca0a66eea150d7,RKD-20230922-047,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,1335.0,1,1335.0,sc.material.inbound,create_material_inbound,
10876,3d7282ff4f9f4f1ba7a91dff20fd1e36,RKD-20230922-031,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,21476.61,3,21476.61,sc.material.inbound,create_material_inbound,
11135,9a852a3832df4346afb4bfa9cd667f99,RKD-20230922-024,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,40000.0,1,40000.0,sc.material.inbound,create_material_inbound,
11048,7b5dd7945dd44b788bf35e729853fb8d,RKD-20231013-001,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,1200.17,1,1200.17,sc.material.inbound,create_material_inbound,
10746,0915534c9fc84037add0228d0420ddd1,RKD-20230922-002,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,353684.02,5,353684.02,sc.material.inbound,create_material_inbound,
10829,29bf4e3215324ada83a1f1dd2eb9489c,RKD-20231107-002,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,4120.8,1,4120.8,sc.material.inbound,create_material_inbound,
11419,fe0ece8760e0483095f3ed32e9c374c8,RKD-20231108-003,855,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,8520.0,2,8520.0,sc.material.inbound,create_material_inbound,
10968,5bb49eda823640be97174cd5e5f830bc,RKD-20231108-013,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,5848.5,3,5848.5,sc.material.inbound,create_material_inbound,
11276,c95740c374c648658a2e51801ca12abb,RKD-20231108-012,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,1976.0,1,1976.0,sc.material.inbound,create_material_inbound,
11332,dbd5467fd06c4ff99fe114d88a6cbb52,RKD-20231108-014,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,33768.0,2,33768.0,sc.material.inbound,create_material_inbound,
11033,75252ccb132441ffaed2cf177bdec206,RKD-20231107-003,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,990.0,2,990.0,sc.material.inbound,create_material_inbound,
11068,817cecb63aa346a686a943fa5057c975,RKD-20231108-004,855,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,491487.2,10,491487.19999999995,sc.material.inbound,create_material_inbound,
