model,id,legacy_material_id,name,code
sc.material.catalog,264,e365cdf0cdc14741afa5160e259fef6f,人工草坪,SCBS-e365cdf0cdc14741afa5160e
sc.material.catalog,265,9ab52dcacac1417ea1a4e336c0256ccd,热镀锌角钢,SCBS-9ab52dcacac1417ea1a4e336
sc.material.catalog,266,ca0d508cfb964af1b97bf4798191842f,电缆,SCBS-ca0d508cfb964af1b97bf479
sc.material.catalog,267,d540b9ba1ddc4da5bb21a1f769b9293c,II级国标钢筋砼平口管,SCBS-d540b9ba1ddc4da5bb21a1f7
sc.material.catalog,268,ed514c808d824b439bccfeaec140cf0b,智慧平板,SCBS-ed514c808d824b439bccfeae
sc.material.catalog,269,64e5d943e585445b86087a92dbcc2ec3,切片椅,SCBS-64e5d943e585445b86087a92
sc.material.catalog,270,38f4df67a83246c8845f9bf44b906979,N-HAP热浸塑钢管,SCBS-38f4df67a83246c8845f9bf4
sc.material.catalog,271,180800e431fe4e8caf9ade5cd2b9ab61,路沿石,SCBS-180800e431fe4e8caf9ade5c
sc.material.catalog,272,976a54fe103b4860a906a2aee12c6164,盘螺HRB400E,SCBS-976a54fe103b4860a906a2ae
sc.material.catalog,273,1e7658b3fba24c03bfa7387629c0ab77,双壁波纹管,SCBS-1e7658b3fba24c03bfa73876
sc.material.catalog,274,e8da10b6c76748bd938bd91c3b996fda,自粘防水卷材,SCBS-e8da10b6c76748bd938bd91c
sc.material.catalog,275,5292977689f3427f828f8be2175690f5,镀锌角钢,SCBS-5292977689f3427f828f8be2
sc.material.catalog,276,47ebc535577647da940535ac317aec6a,CT花岗石透水砖,SCBS-47ebc535577647da940535ac
sc.material.catalog,277,4bb8377b947349249cbc6cff9a417066,螺纹钢,SCBS-4bb8377b947349249cbc6cff
sc.material.catalog,278,5dd3325877c94e01bde3c2bab22febd0,双高筋增强聚乙烯HDPE缠绕管,SCBS-5dd3325877c94e01bde3c2ba
sc.material.catalog,279,6e74b413c33c44a3a4c7ec9524cad536,泡沫混凝土块,SCBS-6e74b413c33c44a3a4c7ec95
sc.material.catalog,280,48ca046dc9a14392b11a2886f4cc6fd5,细石商品砼,SCBS-48ca046dc9a14392b11a2886
sc.material.catalog,281,ed92eac9df0143bdab874e3162fc6ea5,砂石碎石,SCBS-ed92eac9df0143bdab874e31
sc.material.catalog,282,c7991fc555d145f890f642957543007f,螺纹钢HRB400E,SCBS-c7991fc555d145f890f64295
sc.material.catalog,283,86192d790582411295f9c69609635f7a,螺纹钢,SCBS-86192d790582411295f9c696
sc.material.catalog,284,57b992e8f74e4e24ac69e1b7efd7e1f1,高分子聚乙烯丙纶防水卷材,SCBS-57b992e8f74e4e24ac69e1b7
sc.material.catalog,285,6fcd6d44f4954206a1f81e68b24cb5a2,花岗石,SCBS-6fcd6d44f4954206a1f81e68
sc.material.catalog,286,c7552f33700e4642ae64bda74bee4ab3,钢筋混泥土整体人孔板,SCBS-c7552f33700e4642ae64bda7
sc.material.catalog,287,3ff620e282b84f8a8d6b6241b9e57fb7,机非隔离栏杆,SCBS-3ff620e282b84f8a8d6b6241
sc.material.catalog,288,33751,瓷砖,SCBS-33751
sc.material.catalog,289,c6091f841042483ab4a89836c878e156,芝麻灰花岗岩平石,SCBS-c6091f841042483ab4a89836
sc.material.catalog,290,72fe1d9f00c04ea5ae317639799330ca,HDPE钢带增强聚乙烯螺旋波纹管,SCBS-72fe1d9f00c04ea5ae317639
sc.material.catalog,291,e8429c5b204f4639a127c0b8ae5631a8,钢筋混凝土承插管,SCBS-e8429c5b204f4639a127c0b8
sc.material.catalog,292,5cbfb03c45bb4983b86579494add4685,云杉板材,SCBS-5cbfb03c45bb4983b8657949
sc.material.catalog,293,830c3ee8642743cbb7d8980412a2787f,嵌边石,SCBS-830c3ee8642743cbb7d89804
sc.material.catalog,294,1cf9efe609a046d2a8b0ec7808f0034d,路沿石,SCBS-1cf9efe609a046d2a8b0ec78
sc.material.catalog,295,9b740b433e554af8ae3e7f6dc11af055,热轧带肋钢筋,SCBS-9b740b433e554af8ae3e7f6d
sc.material.catalog,296,3df2eb1446dc4f249fedab67afb400c1,矿渣硅酸盐水泥（袋装）,SCBS-3df2eb1446dc4f249fedab67
sc.material.catalog,297,b94bd983510b477d8a4bc6c02102f7ec,镀锌管,SCBS-b94bd983510b477d8a4bc6c0
sc.material.catalog,298,8e92879572004c3ba9683633eb1f99b5,商品混凝土,SCBS-8e92879572004c3ba9683633
sc.material.catalog,299,2dce5b5b337247019d2cacc5e4545371,砂石,SCBS-2dce5b5b337247019d2cacc5
sc.material.catalog,300,5fef3455863144cb973e1e672e8799bd,中空玻璃,SCBS-5fef3455863144cb973e1e67
sc.material.catalog,301,22a7bfee8c5444cfae6425897f94eda3,风行300SBS改性沥青防水卷材 IPYPEPE3 10 民建,SCBS-22a7bfee8c5444cfae642589
sc.material.catalog,302,198c235a48d04e9c9f5276cbcea18113,印度红光面,SCBS-198c235a48d04e9c9f5276cb
sc.material.catalog,303,c9a32ebdd8d84f5f9f29980ce03cbdc6,凯达名门钢质门,SCBS-c9a32ebdd8d84f5f9f29980c
sc.material.catalog,304,23adfed34e674e388f2efdf61e89f7a8,仿花岗石芝麻白PC嵌边石,SCBS-23adfed34e674e388f2efdf6
sc.material.catalog,305,e4c78afb7add40f99593b6a7040a20d5,盘螺HRB400E,SCBS-e4c78afb7add40f99593b6a7
sc.material.catalog,306,4a60bc43697243ffb134247456afd580,仿花岗石盲道PC砖,SCBS-4a60bc43697243ffb1342474
sc.material.catalog,307,96c7eb400681401782f83397e39f5ed8,热轧带肋钢筋,SCBS-96c7eb400681401782f83397
sc.material.catalog,308,5f1dc45911084637bc5641ee09b9cbc2,五防球墨铸铁井盖,SCBS-5f1dc45911084637bc5641ee
sc.material.catalog,309,fd7163ad8ef6447a99ba089ec7263ec6,HDPE钢带增强管,SCBS-fd7163ad8ef6447a99ba089e
sc.material.catalog,310,e48721f7786c40eaa491198808fef9c2,螺纹钢HRB400E,SCBS-e48721f7786c40eaa4911988
sc.material.catalog,311,fc52e738f43d435288c55ee195096733,螺纹钢,SCBS-fc52e738f43d435288c55ee1
sc.material.catalog,312,62d88a668f684016b3f89aa78d540da5,半透主动发光标志,SCBS-62d88a668f684016b3f89aa7
sc.material.catalog,313,eb49a6b94305434fad6c2395a58b0879,混凝土,SCBS-eb49a6b94305434fad6c2395
sc.material.catalog,314,036269a171504f3188835f64306466d7,自粘性聚合物改性沥青卷材防水(聚酯胎类、I型),SCBS-036269a171504f3188835f64
sc.material.catalog,315,6fcca8775d2a4fc4852217355b437c34,混凝土,SCBS-6fcca8775d2a4fc485221735
sc.material.catalog,316,42cd94c1f1ef4686ad2724f552115e9a,花岗石*黑光面树池石拉槽,SCBS-42cd94c1f1ef4686ad2724f5
sc.material.catalog,317,14daa9e8c87d499fb7501968b7ce4c1a,盘螺 HRB400E,SCBS-14daa9e8c87d499fb7501968
sc.material.catalog,318,3f9e97623b474689b728816003eea6ea,PE管,SCBS-3f9e97623b474689b7288160
sc.material.catalog,319,51c9b30c3c4b44beac7df53c69b006c8,碎石,SCBS-51c9b30c3c4b44beac7df53c
sc.material.catalog,320,346cebc3d82c40a58e0e78e29c80cf3f,球墨铸铁井盖,SCBS-346cebc3d82c40a58e0e78e2
sc.material.catalog,321,83af40a50928411d9bdaa78e85a46916,樟子松防腐木,SCBS-83af40a50928411d9bdaa78e
sc.material.catalog,322,d4da1b9b5e184db886e6a59ed2f7af8e,花岗石,SCBS-d4da1b9b5e184db886e6a59e
sc.material.catalog,323,c88eaae843264753834eddd957da92bb,方矩管,SCBS-c88eaae843264753834eddd9
sc.material.catalog,324,b88448557a094b36bd31b52ae51066d3,螺纹钢HRB400E,SCBS-b88448557a094b36bd31b52a
sc.material.catalog,325,ad625873e1434ef1b21bd8a0d6e6a7f9,黄金麻荔枝面,SCBS-ad625873e1434ef1b21bd8a0
sc.material.catalog,326,99880c8d43244d55aa617485e34226ac,花岗石,SCBS-99880c8d43244d55aa617485
sc.material.catalog,327,378aee4e53c141689715992106d7eb62,商品混凝土砂浆,SCBS-378aee4e53c1416897159921
sc.material.catalog,328,96d7ff1a8c8043c6a483fc409ca92195,机制碎石,SCBS-96d7ff1a8c8043c6a483fc40
sc.material.catalog,329,a60c2184b6ce45ec8c8ce227e8b48136,不锈钢井盖,SCBS-a60c2184b6ce45ec8c8ce227
sc.material.catalog,330,ccd0ab2d0297403395c78e62ee011050,高分子水箅,SCBS-ccd0ab2d0297403395c78e62
sc.material.catalog,331,552d301da223406f83b3a5aa29dff220,硅酸盐水泥,SCBS-552d301da223406f83b3a5aa
sc.material.catalog,332,5bdbb3a87b5c45508564f4db92e18a17,花岗石盲道砖芝麻黑烧面,SCBS-5bdbb3a87b5c45508564f4db
sc.material.catalog,333,6417eb4cebab44898e25214aabe88858,碎石,SCBS-6417eb4cebab44898e25214a
sc.material.catalog,334,33f53a60eab641cabc11009d8192e710,II级钢筋混凝土管（承插）,SCBS-33f53a60eab641cabc11009d
sc.material.catalog,335,8628134d97c54715826f71d04e3a20ba,不锈钢井盖,SCBS-8628134d97c54715826f71d0
sc.material.catalog,336,435a1fb0a5e446adb7e892de5e86d29b,彩涂卷,SCBS-435a1fb0a5e446adb7e892de
sc.material.catalog,337,6239f296408d47999abeb9210ee9d05f,混凝土,SCBS-6239f296408d47999abeb921
sc.material.catalog,338,cd95a6f473d641afb137177e3e3ff5d3,建筑用金属面绝热夹芯板,SCBS-cd95a6f473d641afb137177e
sc.material.catalog,339,702bac256fdf4c69b0d087826d7cb6ae,仿芝麻黑烧面石英砖,SCBS-702bac256fdf4c69b0d08782
sc.material.catalog,340,f27a757ddbe244deb57cdf7c2b6dab03,24标砖,SCBS-f27a757ddbe244deb57cdf7c
sc.material.catalog,341,762825a6a50942969c847a9d01d2a221,盘螺,SCBS-762825a6a50942969c847a9d
sc.material.catalog,342,2fe35e9f99fb4e11824eb700badc5451,镀锌方管,SCBS-2fe35e9f99fb4e11824eb700
sc.material.catalog,343,901cd35f97f643a3bd7987df02c84243,PVC-U双壁波纹管,SCBS-901cd35f97f643a3bd7987df
sc.material.catalog,344,1a62446cca20421f935bfec8bf0d917e,铁丝编织网,SCBS-1a62446cca20421f935bfec8
sc.material.catalog,345,b3ec43658a92471496793ddbabf3abe8,球墨铸铁水篦,SCBS-b3ec43658a92471496793ddb
sc.material.catalog,346,dd45e3e4d126414a91fe8464f12c3070,电线,SCBS-dd45e3e4d126414a91fe8464
sc.material.catalog,347,260240d53463461caaad28807414cf8b,干混砌筑砂浆,SCBS-260240d53463461caaad2880
sc.material.catalog,348,1986f401e02948e69c2d0b8f8798f8cb,热镀锌管,SCBS-1986f401e02948e69c2d0b8f
sc.material.catalog,349,5137b213daf24306b761a1c1dc981e0f,螺纹钢HRB400E,SCBS-5137b213daf24306b761a1c1
sc.material.catalog,350,030d7fcfc4c54ecb951a49ebd116faba,非固化橡胶沥青防水材料,SCBS-030d7fcfc4c54ecb951a49eb
sc.material.catalog,351,f605353742fb44e9b9781b842665b29c,不锈钢线型排水沟盖板,SCBS-f605353742fb44e9b9781b84
sc.material.catalog,352,b0d42e84d5e64199ad95325581138085,镀锌圆管,SCBS-b0d42e84d5e64199ad953255
sc.material.catalog,353,3954c94795b040dd9a5eda39e15eefb0,不锈钢管,SCBS-3954c94795b040dd9a5eda39
sc.material.catalog,354,b90cbbcbc1a94e48b951a85f5e953250,护栏板,SCBS-b90cbbcbc1a94e48b951a85f
sc.material.catalog,355,1637d01307e94d47a40c3afef122c55a,螺纹钢HRB400E,SCBS-1637d01307e94d47a40c3afe
sc.material.catalog,356,5bcf1d8e9ba5438d8dd050a8641f36bf,芝麻灰花岗石路沿石,SCBS-5bcf1d8e9ba5438d8dd050a8
sc.material.catalog,357,2cc86cd461184441b78a1731e9fc07c1,盘螺HRB400,SCBS-2cc86cd461184441b78a1731
sc.material.catalog,358,96ea64568d8e4e58a495f3b4733525a5,单体浮筒,SCBS-96ea64568d8e4e58a495f3b4
sc.material.catalog,359,364ee44100704e05ab1bad5f0d6698f3,方管,SCBS-364ee44100704e05ab1bad5f
