legacy_project_id,legacy_parent_id,name,short_name,project_environment,legacy_company_id,legacy_company_name,legacy_specialty_type_id,specialty_type_name,legacy_price_method,business_nature,detail_address,project_profile,project_area,legacy_is_shared_base,legacy_sort,legacy_attachment_ref,project_overview,legacy_project_nature,legacy_is_material_library,other_system_id,other_system_code
1d69b18850554e28b5c4b4f8c7c83e77,10834,百合公园维修工程,,正式项目,1,四川保盛建设集团有限公司,460001,专业分包,1,联营,,,,0,639,ec9ca9a6395043f5a2c4ea790af1378e,,,,109405,16982984806650001
1d7c02e968a146e3ac209f95ac712682,10765,德阳市烈士陵园建设项目专业分包（总平）,,正式项目,1,四川保盛建设集团有限公司,5960001,劳务工程,1,联营,,,,0,570,ce80529be3924e6c96f1a46cdacfde89,,,,109460,16982984876490001
1da16136281c46fc9fb1d3038e68f983,17572992844510000,石船镇农村公路（关兴村）井环路堡坎修复工程,,,570,保盛重庆分公司,430001,公路工程,1,联营,,,,1,,8708b9238e392c0fcd7a6ec195bc37e9,,,,237382,17633638566350000
1e7aa5f1a92e46b1a4385a5daac440a6,10478,中国移动四川公司乐山分公司2020-2022年渠道维修采购项目框架协议,,正式项目,1,四川保盛建设集团有限公司,420001,装修装饰,1,联营,,,,0,286,2a997d00c9904538855ca347f4fa0378,,,,109704,16982985770070001
1e8cf6baef1d4627adb1a1d68231ba1e,17177222755070000,中铁八局集团有限公司德阳经开区市政道路工程项目(齐湖路、黔江街)土石方工程,,,1,四川保盛建设集团有限公司,10740001,土石方工程,0,联营,,,,0,,8f82e937a8ff1650d5ee7b618a503ab6,,,,168385,17177223029440000
1f0d1455b090418eb292f359a8a19caf,10563,德阳太行山路（钱塘江路-信江路）道路工程,,正式项目,1,四川保盛建设集团有限公司,10760001,专业分包,1,联营,,,,0,371,bf21987fb7794ee984ad1f45abf31013,,,,,
1f8cc9fd9b7145bbb9c265431d95c3a4,17550470637030000,德阳市旌阳区德新镇胜利村2024年省级财政乡村振兴转移支付资金项目(第二次),,,1,四川保盛建设集团有限公司,390001,房建工程,1,联营,,,,1,,71e48c3efee5e87febb277f54ede5638,,,,224476,17554790975310000
1ffb0ce01fdf4dc984ec3df9432623cb,10422,玖龙纸业（重庆）有限公司年产55万吨牛卡及瓦楞纸生产线配套湿式造纸联合厂房工程第三方整改（25.4496）,,正式项目,1,四川保盛建设集团有限公司,390001,房建,1,联营,,,,0,230,a9f89e52141a48089f92e42d99cd178d,,,,109739,16982985815540001
2001f5127b3e4265b198bef8a7553358,10405,绵远河（青衣江路大桥至钱塘江路大桥）生态整治工程,,正式项目,1,四川保盛建设集团有限公司,400001,市政,1,联营,,,,0,213,405db646b37d4b809c9b4e2c084d4259,,,,109746,16982985824290001
2039a46ae2944d438ef930b4773ab002,17289731782780000,国网新疆喀什莎车县供电公司荒地供电所扩建项目,,,565,保盛新疆分公司,390001,房建工程,0,联营,,,,0,,02a4ca6fd95ea65ee272f1c03dece2a7,,,,181661,17295798121520000
