payment_request_id,external_id,name,old_state,old_validation_status,amount,old_ledger_count,old_ledger_sum,actual_outflow_count,actual_outflow_amount,sample_downstream_external_ids
5460,legacy_outflow_sc_0230396e10f345ee84d9236a4ec34680,PRQ2605460,done,validated,50000.00,1,50000.00,1,50000.00,legacy_actual_outflow_sc_1edf763164fe45038d9829bbb903beb1
5461,legacy_outflow_sc_0231dfc6b2044aac9e743fcc88c6ad84,PRQ2605461,done,validated,3198.50,1,3198.50,1,3198.50,legacy_actual_outflow_sc_dafcfe76e7fc448ba3af97a0717e175f
5462,legacy_outflow_sc_0239f2e9addb42b8a7fa94df9634075b,PRQ2605462,done,validated,25803.00,1,25803.00,1,25803.00,legacy_actual_outflow_sc_eab63e4513a74fdcb6d17d897f49975a
5464,legacy_outflow_sc_023d54d28440405ca220ee530e1c1b5c,PRQ2605464,done,validated,958793.69,1,958793.69,1,958793.69,legacy_actual_outflow_sc_e7aaac048eaf4077b83b42257b65c32c
5465,legacy_outflow_sc_023d9b970ac14ff6b5edf2c23d6a34b2,PRQ2605465,done,validated,2675.00,1,2675.00,1,2675.00,legacy_actual_outflow_sc_48168b596fc7480498c9c51d1a9e5e3d
5466,legacy_outflow_sc_023f6dbebce74ea48477dc961a8b0db6,PRQ2605466,done,validated,6000.00,1,6000.00,1,6000.00,legacy_actual_outflow_sc_dc9fc4e1cb5f4e9db5a03505322500f1
5467,legacy_outflow_sc_0243ff32563347748e73440e216a6f3e,PRQ2605467,done,validated,20700.00,1,20700.00,1,20700.00,legacy_actual_outflow_sc_7eee2ca3de3e48e89f10910501f14b39
5468,legacy_outflow_sc_024f6c473cae43aba4dd610ef994c3b2,PRQ2605468,done,validated,34292.80,1,34292.80,1,34292.80,legacy_actual_outflow_sc_78ded2eb8b984b968bdd7e566e19b0b9
5469,legacy_outflow_sc_025bce2609eb4573a12f745f44099c76,PRQ2605469,done,validated,90050.00,1,90050.00,1,90050.00,legacy_actual_outflow_sc_a8eed16928064f6bb5ee9fe9a409ee25
5470,legacy_outflow_sc_025e224f5b17455ea10abd970e6b3f78,PRQ2605470,done,validated,111675.00,1,111675.00,1,111675.00,legacy_actual_outflow_sc_c71dc6087a304be98eca93f637a5dae9
5471,legacy_outflow_sc_025eb6684be840718588a9a2e012e622,PRQ2605471,done,validated,2443325.80,1,2443325.80,1,2443325.80,legacy_actual_outflow_sc_a82e11ef5d6f4d16baa0e24fc307337e
5472,legacy_outflow_sc_025fc0c3a77a471ca4cf1e2d56569697,PRQ2605472,done,validated,1760.00,1,1760.00,1,1760.00,legacy_actual_outflow_sc_fb4c74983b804f91b314120537af1d02
5473,legacy_outflow_sc_02641c96961341588bab928c8e6ca542,PRQ2605473,done,validated,93275.00,1,93275.00,1,93275.00,legacy_actual_outflow_sc_6a7854418b004418b40b744c64aad482
5474,legacy_outflow_sc_02669e28930548d3a62c57d8db041145,PRQ2605474,done,validated,183674.00,1,183674.00,1,183674.00,legacy_actual_outflow_sc_da1e7519855e444abecd4faec88c0bd4
5475,legacy_outflow_sc_026894f758c1401d96ba690165cf4883,PRQ2605475,done,validated,122290.00,1,122290.00,1,122290.00,legacy_actual_outflow_sc_7886239c1905465681e31a90b8d2fc75
5476,legacy_outflow_sc_02750ac700bc4a6d855254b378a3c229,PRQ2605476,done,validated,100000.00,1,100000.00,1,100000.00,legacy_actual_outflow_sc_bece9e0169fa4412b64ab1861fba5f7c
5477,legacy_outflow_sc_02766712d2a442658101fd746892aed0,PRQ2605477,done,validated,81700.00,1,81700.00,1,81700.00,legacy_actual_outflow_sc_4ec975b7484b4009bd7a1c74e2f7ba5c
5478,legacy_outflow_sc_027771e21db246188c0eb8c6786d2c8f,PRQ2605478,done,validated,64500.00,1,64500.00,1,64500.00,legacy_actual_outflow_sc_9de27b420d8740a99c08a45773dd4a75
5479,legacy_outflow_sc_027814c531994d1d89d96bdef758aa6a,PRQ2605479,done,validated,16600.00,1,16600.00,1,16600.00,legacy_actual_outflow_sc_e9efa72a687c4e0ba72df2acdfe6d4d1
5480,legacy_outflow_sc_027fcdb1346a4b0a8cc58bb73a6ffeaf,PRQ2605480,done,validated,16000.00,1,16000.00,1,16000.00,legacy_actual_outflow_sc_cc0837be60d246e88f62901006d300ec
5481,legacy_outflow_sc_02807e44c789495bbd006566a29d4a13,PRQ2605481,done,validated,7952.70,1,7952.70,1,7952.70,legacy_actual_outflow_sc_6d2c9aaf782f4a8eb39aefc0ae46c8be
5482,legacy_outflow_sc_028c5a4b8abf478aad40ae63d07caa71,PRQ2605482,done,validated,410949.00,1,410949.00,1,410949.00,legacy_actual_outflow_sc_143967500e9c4362aa3fdd93247c6b3c
5483,legacy_outflow_sc_0291dd0b2545443ab9f2d1e91546808a,PRQ2605483,done,validated,40919.87,1,40919.87,1,40919.87,legacy_actual_outflow_sc_d6af3873890a49a5aaecadef2fef0f9b
5484,legacy_outflow_sc_02a3df90afb14c2482b0dbc94b00e15e,PRQ2605484,done,validated,53600.00,1,53600.00,2,53600.00,legacy_actual_outflow_sc_15c47923f15f4641ba480d1ec8b8103a;legacy_actual_outflow_sc_bf908b7000a84e4c988119af5fd5a966
5485,legacy_outflow_sc_02a66a0f214041e0a51454c05e69bf20,PRQ2605485,done,validated,9359.00,1,9359.00,1,9359.00,legacy_actual_outflow_sc_37c9644095b0418686fb17587d640dd0
5486,legacy_outflow_sc_02a9369aa32c4b2b8b458d314f30d467,PRQ2605486,done,validated,95000.00,1,95000.00,1,95000.00,legacy_actual_outflow_sc_9bba80b343944fd2bacb174192ac1d47
5487,legacy_outflow_sc_02a9919769914a8686e3c2513cd7a66d,PRQ2605487,done,validated,793000.00,1,793000.00,1,793000.00,legacy_actual_outflow_sc_9c5e5439b6a949768df39c53deda66f4
