external_id,legacy_contract_id,sequence,qty_contract,price_contract,note,idempotency_key,replay_action
legacy_contract_line_summary_sc_09bc7f533d534d93b0ca47dd5c3195c2,09bc7f533d534d93b0ca47dd5c3195c2,10,1.0,400000.0000,summary line from legacy contract header amount; legacy_contract_id=09bc7f533d534d93b0ca47dd5c3195c2; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_09bc7f533d534d93b0ca47dd5c3195c2,create_if_missing
legacy_contract_line_summary_sc_09fa2aecb7a24fe796c83451e8a14910,09fa2aecb7a24fe796c83451e8a14910,10,1.0,13180.0000,summary line from legacy contract header amount; legacy_contract_id=09fa2aecb7a24fe796c83451e8a14910; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_09fa2aecb7a24fe796c83451e8a14910,create_if_missing
legacy_contract_line_summary_sc_0a2327c0e84a47ebaf4218101ec2fdd3,0a2327c0e84a47ebaf4218101ec2fdd3,10,1.0,546749.4000,summary line from legacy contract header amount; legacy_contract_id=0a2327c0e84a47ebaf4218101ec2fdd3; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_0a2327c0e84a47ebaf4218101ec2fdd3,create_if_missing
legacy_contract_line_summary_sc_0a63d55a32454334a48fc28997e27a80,0a63d55a32454334a48fc28997e27a80,10,1.0,469754.0000,summary line from legacy contract header amount; legacy_contract_id=0a63d55a32454334a48fc28997e27a80; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_0a63d55a32454334a48fc28997e27a80,create_if_missing
legacy_contract_line_summary_sc_0aa222806832441e8d39f9523c9988a6,0aa222806832441e8d39f9523c9988a6,10,1.0,719.0000,summary line from legacy contract header amount; legacy_contract_id=0aa222806832441e8d39f9523c9988a6; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_0aa222806832441e8d39f9523c9988a6,create_if_missing
legacy_contract_line_summary_sc_0ac66e46207842738592390105828cf3,0ac66e46207842738592390105828cf3,10,1.0,217.0000,summary line from legacy contract header amount; legacy_contract_id=0ac66e46207842738592390105828cf3; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_0ac66e46207842738592390105828cf3,create_if_missing
legacy_contract_line_summary_sc_0b124af5e7d2476e9ab6cf90fc538781,0b124af5e7d2476e9ab6cf90fc538781,10,1.0,50000.0000,summary line from legacy contract header amount; legacy_contract_id=0b124af5e7d2476e9ab6cf90fc538781; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_0b124af5e7d2476e9ab6cf90fc538781,create_if_missing
legacy_contract_line_summary_sc_0b185d3698ba4a87ac954fcb05920e8e,0b185d3698ba4a87ac954fcb05920e8e,10,1.0,4237385.7200,summary line from legacy contract header amount; legacy_contract_id=0b185d3698ba4a87ac954fcb05920e8e; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_0b185d3698ba4a87ac954fcb05920e8e,create_if_missing
legacy_contract_line_summary_sc_0b196b3f5f8a46ee99fdc05a3bbb7084,0b196b3f5f8a46ee99fdc05a3bbb7084,10,1.0,795000.0000,summary line from legacy contract header amount; legacy_contract_id=0b196b3f5f8a46ee99fdc05a3bbb7084; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_0b196b3f5f8a46ee99fdc05a3bbb7084,create_if_missing
legacy_contract_line_summary_sc_0b65a51353fc4dec85fef0a3d5f69cb6,0b65a51353fc4dec85fef0a3d5f69cb6,10,1.0,43800.0000,summary line from legacy contract header amount; legacy_contract_id=0b65a51353fc4dec85fef0a3d5f69cb6; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_0b65a51353fc4dec85fef0a3d5f69cb6,create_if_missing
legacy_contract_line_summary_sc_0bc3d9635d5d47fba85d405c036c7579,0bc3d9635d5d47fba85d405c036c7579,10,1.0,1044000.0000,summary line from legacy contract header amount; legacy_contract_id=0bc3d9635d5d47fba85d405c036c7579; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_0bc3d9635d5d47fba85d405c036c7579,create_if_missing
legacy_contract_line_summary_sc_0c0d568ba1b04b81a999a9e9e745dfb5,0c0d568ba1b04b81a999a9e9e745dfb5,10,1.0,15970.0000,summary line from legacy contract header amount; legacy_contract_id=0c0d568ba1b04b81a999a9e9e745dfb5; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_0c0d568ba1b04b81a999a9e9e745dfb5,create_if_missing
legacy_contract_line_summary_sc_0c83b7ad892e4302b14325d470afa4ac,0c83b7ad892e4302b14325d470afa4ac,10,1.0,140000.0000,summary line from legacy contract header amount; legacy_contract_id=0c83b7ad892e4302b14325d470afa4ac; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_0c83b7ad892e4302b14325d470afa4ac,create_if_missing
legacy_contract_line_summary_sc_0cb3a32f73c94a41a229a2f69aa2f74a,0cb3a32f73c94a41a229a2f69aa2f74a,10,1.0,695.0000,summary line from legacy contract header amount; legacy_contract_id=0cb3a32f73c94a41a229a2f69aa2f74a; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_0cb3a32f73c94a41a229a2f69aa2f74a,create_if_missing
legacy_contract_line_summary_sc_0cc43dec855543fdba297a83078e6893,0cc43dec855543fdba297a83078e6893,10,1.0,16989027.2400,summary line from legacy contract header amount; legacy_contract_id=0cc43dec855543fdba297a83078e6893; amount_source=GCYSZJ; not a reconstructed BOQ detail,legacy_contract_line_summary_sc_0cc43dec855543fdba297a83078e6893,create_if_missing
