external_id,legacy_partner_source,legacy_partner_id,name,company_type,is_company,legacy_partner_name,legacy_source_evidence,idempotency_key,replay_action
legacy_contract_counterparty_sc_f8407065d92d07d3,contract_counterparty,contract_counterparty:f8407065d92d07d3,塔什库尔干县塔什库尔干乡人民政府,company,1,塔什库尔干县塔什库尔干乡人民政府,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:f8407065d92d07d3,create_if_missing
legacy_contract_counterparty_sc_35000d925ecc3a59,contract_counterparty,contract_counterparty:35000d925ecc3a59,山东创杰智慧装备科技有限公司,company,1,山东创杰智慧装备科技有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:35000d925ecc3a59,create_if_missing
legacy_contract_counterparty_sc_9ccecab619f83f95,contract_counterparty,contract_counterparty:9ccecab619f83f95,广汉市金轮镇人民政府,company,1,广汉市金轮镇人民政府,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:9ccecab619f83f95,create_if_missing
legacy_contract_counterparty_sc_b3e284227c6a9a20,contract_counterparty,contract_counterparty:b3e284227c6a9a20,德阳二重新业建筑工程有限责任公司,company,1,德阳二重新业建筑工程有限责任公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:b3e284227c6a9a20,create_if_missing
legacy_contract_counterparty_sc_de9148bc9059d36a,contract_counterparty,contract_counterparty:de9148bc9059d36a,德阳发展控股集团有限公司,company,1,德阳发展控股集团有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:de9148bc9059d36a,create_if_missing
legacy_contract_counterparty_sc_58713443b28ea608,contract_counterparty,contract_counterparty:58713443b28ea608,德阳启明酒店管理有限公司,company,1,德阳启明酒店管理有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:58713443b28ea608,create_if_missing
legacy_contract_counterparty_sc_3c5002663cc40849,contract_counterparty,contract_counterparty:3c5002663cc40849,德阳国信建设工程有限公司,company,1,德阳国信建设工程有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:3c5002663cc40849,create_if_missing
legacy_contract_counterparty_sc_9b1e8ca921dfbbee,contract_counterparty,contract_counterparty:9b1e8ca921dfbbee,德阳大参林投资有限公司,company,1,德阳大参林投资有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:9b1e8ca921dfbbee,create_if_missing
legacy_contract_counterparty_sc_09619d9870deea95,contract_counterparty,contract_counterparty:09619d9870deea95,德阳市人民医院,company,1,德阳市人民医院,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:09619d9870deea95,create_if_missing
legacy_contract_counterparty_sc_1909f2c926e5c88b,contract_counterparty,contract_counterparty:1909f2c926e5c88b,德阳市住房保障和房地产事务中心,company,1,德阳市住房保障和房地产事务中心,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:1909f2c926e5c88b,create_if_missing
legacy_contract_counterparty_sc_1b5584cfe7d6bf4d,contract_counterparty,contract_counterparty:1b5584cfe7d6bf4d,德阳市供水安装工程队,company,1,德阳市供水安装工程队,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:1b5584cfe7d6bf4d,create_if_missing
legacy_contract_counterparty_sc_549de8f850928794,contract_counterparty,contract_counterparty:549de8f850928794,德阳市勘察测绘设计院,company,1,德阳市勘察测绘设计院,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:549de8f850928794,create_if_missing
legacy_contract_counterparty_sc_31c4a103d241a777,contract_counterparty,contract_counterparty:31c4a103d241a777,德阳市旌创建设工程有限公司,company,1,德阳市旌创建设工程有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:31c4a103d241a777,create_if_missing
legacy_contract_counterparty_sc_4b8fec8204fdc6ee,contract_counterparty,contract_counterparty:4b8fec8204fdc6ee,德阳市经济技术开发区城市管理局,company,1,德阳市经济技术开发区城市管理局,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:4b8fec8204fdc6ee,create_if_missing
