legacy_member_id,legacy_project_id,legacy_user_ref,project_ref,user_ref,role_fact_status,import_batch,evidence,notes,active,replay_action
b9d638a2b7ce448196baa64abac2c01d,417d8d223a784630877b006d8067e142,10000033,legacy_project_sc_417d8d223a784630877b006d8067e142,legacy_user_sc_10000033,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b9d638a2b7ce448196baa64abac2c01d,neutral staging only; role fact missing,1,create_if_missing
b9e0eba09b434dccbbd2e3309b9eb98c,fb0c4133-f011-44a4-a285-59cfd30aec27,10000012,legacy_project_sc_fb0c4133-f011-44a4-a285-59cfd30aec27,legacy_user_sc_10000012,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b9e0eba09b434dccbbd2e3309b9eb98c,neutral staging only; role fact missing,1,create_if_missing
b9eb4df6ecf844ed90ccc7e7d98ccb64,5b8510c8256946c29cde293937443344,10000026,legacy_project_sc_5b8510c8256946c29cde293937443344,legacy_user_sc_10000026,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b9eb4df6ecf844ed90ccc7e7d98ccb64,neutral staging only; role fact missing,1,create_if_missing
b9ec99c17cb4465eb5c533f085eb58f7,2fc661b9f89343febe46538b446c07f5,10000038,legacy_project_sc_2fc661b9f89343febe46538b446c07f5,legacy_user_sc_10000038,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b9ec99c17cb4465eb5c533f085eb58f7,neutral staging only; role fact missing,1,create_if_missing
b9f0c62c300e4ce9abe6656e17ba4767,89839027a8fe4876a6f7edd4a103ec2e,10000017,legacy_project_sc_89839027a8fe4876a6f7edd4a103ec2e,legacy_user_sc_10000017,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b9f0c62c300e4ce9abe6656e17ba4767,neutral staging only; role fact missing,1,create_if_missing
b9f52318_9612_49fc_b1fd_960ddb390b82,b5ee8bfd20284bcd84383b0764db24fb,10000070,legacy_project_sc_b5ee8bfd20284bcd84383b0764db24fb,legacy_user_sc_10000070,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:B9F52318-9612-49FC-B1FD-960DDB390B82,neutral staging only; role fact missing,1,create_if_missing
b9f7888d23f94d4ba5f7a3f24fcb9fe3,e712d2cd1f10406abfd3f4857656495d,10000034,legacy_project_sc_e712d2cd1f10406abfd3f4857656495d,legacy_user_sc_10000034,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b9f7888d23f94d4ba5f7a3f24fcb9fe3,neutral staging only; role fact missing,1,create_if_missing
b9f8248bf762487089278afd7cfc6955,0db43c29f642442292d30f6b34c328a9,10000031,legacy_project_sc_0db43c29f642442292d30f6b34c328a9,legacy_user_sc_10000031,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b9f8248bf762487089278afd7cfc6955,neutral staging only; role fact missing,1,create_if_missing
b9fd182fa5704395b2f2b57b165f9c6a,215041536acd48be89b14758cd923649,10000034,legacy_project_sc_215041536acd48be89b14758cd923649,legacy_user_sc_10000034,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:b9fd182fa5704395b2f2b57b165f9c6a,neutral staging only; role fact missing,1,create_if_missing
ba0721bce00445deaf685cb79728b3cd,6b46b842c0d344a08dd79ae5ba83628a,10000000,legacy_project_sc_6b46b842c0d344a08dd79ae5ba83628a,legacy_user_sc_10000000,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:ba0721bce00445deaf685cb79728b3cd,neutral staging only; role fact missing,1,create_if_missing
ba1951d9c9b74ad5b403a7500988badb,09a62a54dcf645d6b7030d40fbdac1cb,10000026,legacy_project_sc_09a62a54dcf645d6b7030d40fbdac1cb,legacy_user_sc_10000026,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:ba1951d9c9b74ad5b403a7500988badb,neutral staging only; role fact missing,1,create_if_missing
ba36c16fa2604ea5a8d6e288416875c6,876f32f8b96d4bb192f628a4cb4d0b49,10000026,legacy_project_sc_876f32f8b96d4bb192f628a4cb4d0b49,legacy_user_sc_10000026,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:ba36c16fa2604ea5a8d6e288416875c6,neutral staging only; role fact missing,1,create_if_missing
ba42c4d0adb643fbbc248f1404823ac9,b032b1d023394264bea8890d30a6f16e,10000000,legacy_project_sc_b032b1d023394264bea8890d30a6f16e,legacy_user_sc_10000000,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:ba42c4d0adb643fbbc248f1404823ac9,neutral staging only; role fact missing,1,create_if_missing
ba4d787a5f024b619d5a4938a4ae2aa1,8a57f2823a644db09f6c915d4942f9d5,10000008,legacy_project_sc_8a57f2823a644db09f6c915d4942f9d5,legacy_user_sc_10000008,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:ba4d787a5f024b619d5a4938a4ae2aa1,neutral staging only; role fact missing,1,create_if_missing
ba54275f_e1d9_45df_b28f_e29472152e0b,33bf23a069304419a4c259caf04473a8,10000070,legacy_project_sc_33bf23a069304419a4c259caf04473a8,legacy_user_sc_10000070,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:BA54275F-E1D9-45DF-B28F-E29472152E0B,neutral staging only; role fact missing,1,create_if_missing
ba5d188080d74575a52f5a08ef2d250e,f0d13d9a3be74f30a0c7389e034d1496,10000052,legacy_project_sc_f0d13d9a3be74f30a0c7389e034d1496,legacy_user_sc_10000052,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:ba5d188080d74575a52f5a08ef2d250e,neutral staging only; role fact missing,1,create_if_missing
ba7cb8f534774b80a9cfea80e4ea4265,ad19ad5cd2244aa4830302b0c8a545b8,10000051,legacy_project_sc_ad19ad5cd2244aa4830302b0c8a545b8,legacy_user_sc_10000051,missing,project_member_neutral_xml_v1,BASE_SYSTEM_PROJECT_USER:ba7cb8f534774b80a9cfea80e4ea4265,neutral staging only; role fact missing,1,create_if_missing
