source_table,legacy_record_id,project_name,other_system_id,company_id,fact_family,amount_total
T_FK_Supplier,2c92313eec6142d3b7acf463e3f2961f,四川迈投建筑工程有限公司,SCBS:BASE_SYSTEM_PROJECT:547603a871bd42c5b19681683626a314,,payment,3627.2
T_FK_Supplier,2cbf9722802f4e1cb4895b2129142451,四川鑫垚建筑劳务有限公司,SCBS:BASE_SYSTEM_PROJECT:b8bc05aace5149f2af36878e9c030f4c,,payment,15
T_FK_Supplier,2cc8116226eb423da6fb440dfaaf05f0,四川宏政嘉斯建筑工程有限公司,SCBS:BASE_SYSTEM_PROJECT:ad4866a0a8a24b629a87165d98be5948,,payment,100000
T_FK_Supplier,2d1830a721fc4692901a3adcc85ba051,四川鑫垚建筑劳务有限公司,SCBS:BASE_SYSTEM_PROJECT:b8bc05aace5149f2af36878e9c030f4c,,payment,79894.4
T_FK_Supplier,2d36465a760a4886aeec1b727efccc60,四川世旺鑫润商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:af1d4b6f50504cfd9c6b0b13065fecff,,payment,46992
T_FK_Supplier,2d61f4f94bc1410db0c2aac72815bb57,德阳泰诚硕商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:95f1fe93331842488d5469ad771a1543,,payment,15
T_FK_Supplier,2ddc4413233f4486902ec3c13be40318,四川宏政嘉斯建筑工程有限公司,SCBS:BASE_SYSTEM_PROJECT:ad4866a0a8a24b629a87165d98be5948,,payment,63827
T_FK_Supplier,2deb8ebae52a4d91a443b600f7b629f3,四川迈投建筑工程有限公司,SCBS:BASE_SYSTEM_PROJECT:547603a871bd42c5b19681683626a314,,payment,48420
T_FK_Supplier,2e988214a9804530adffd95fd15586a5,四川鑫垚建筑劳务有限公司,SCBS:BASE_SYSTEM_PROJECT:b8bc05aace5149f2af36878e9c030f4c,,payment,785.5
T_FK_Supplier,2ea90bcfbe00436cae13dc3cbb0974b6,四川鑫垚建筑劳务有限公司,SCBS:BASE_SYSTEM_PROJECT:b8bc05aace5149f2af36878e9c030f4c,,payment,1632.4
T_FK_Supplier,2eb8b0939a4441a58a66c31a1546f867,四川鑫垚建筑劳务有限公司,SCBS:BASE_SYSTEM_PROJECT:b8bc05aace5149f2af36878e9c030f4c,,payment,5143.38
T_FK_Supplier,2f04dc6c01ae46e8b89c5496c999c54e,德阳泰诚硕商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:95f1fe93331842488d5469ad771a1543,,payment,435007.6
T_FK_Supplier,2f4124a9a493401dab6212c5a0bc8b6d,德阳泰诚硕商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:95f1fe93331842488d5469ad771a1543,,payment,15
T_FK_Supplier,2f4ba985921546338478f4071545aaa2,德阳泰诚硕商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:95f1fe93331842488d5469ad771a1543,,payment,13.5
T_FK_Supplier,2f503c893722475497a41dbfed47139e,德阳泰诚硕商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:95f1fe93331842488d5469ad771a1543,,payment,-2000000
T_FK_Supplier,2f5cf5a11462465886d3cd89a047e3b3,四川宏川建筑劳务有限公司,SCBS:BASE_SYSTEM_PROJECT:8e63129abde54614ae66ef7df8f91046,,payment,98147
T_FK_Supplier,2f8361c367b04843a6d03dbb8d3498bc,德阳泰诚硕商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:95f1fe93331842488d5469ad771a1543,,payment,4.5
T_FK_Supplier,2f911c3d75d84caea6fd16b175287868,四川世旺鑫润商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:af1d4b6f50504cfd9c6b0b13065fecff,,payment,150
T_FK_Supplier,2fb67a73a1a84412b0634e3af7d9d673,四川世旺鑫润商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:af1d4b6f50504cfd9c6b0b13065fecff,,payment,9
T_FK_Supplier,2fbaf7d3a9c144709abda51acecbfda5,德阳泰诚硕商贸有限公司,SCBS:BASE_SYSTEM_PROJECT:95f1fe93331842488d5469ad771a1543,,payment,321200
