legacy_project_id,legacy_parent_id,name,short_name,project_environment,legacy_company_id,legacy_company_name,legacy_specialty_type_id,specialty_type_name,legacy_price_method,business_nature,detail_address,project_profile,project_area,legacy_is_shared_base,legacy_sort,legacy_attachment_ref,project_overview,legacy_project_nature,legacy_is_material_library,other_system_id,other_system_code,legacy_stage_id,legacy_stage_name,legacy_region_id,legacy_region_name,legacy_state,legacy_deleted_flag,legacy_project_manager_name,legacy_technical_responsibility_name,current_db_project_id,evidence_file,idempotency_key,replay_action
1375f96aeadd4e518c7b0574d3965a4b,16967510789120000,中国移动四川公司成都分公司2023-2025年渠道维修采购项目框架协议,,,1,四川保盛建设集团有限公司,420001,装修装饰,0,联营,,,,0,,314fd0f88730daab3da8453e304520f5,,,,109360,16982984751960000,,,,,,1,,,2168,artifacts/migration/project_create_only_expand_write_result_v1.json,project::1375f96aeadd4e518c7b0574d3965a4b,create_if_missing
1428742882bf4fc5988efcc289c8d5e8,10829,安宁新能源磷铁项目,,正式项目,1,四川保盛建设集团有限公司,390001,房建工程,1,联营,,,,0,634,e13c28eadfc74cf79bd97bc2168543d5,,,,109409,16982984814150001,,,,,,0,,,2169,artifacts/migration/project_create_only_expand_write_result_v1.json,project::1428742882bf4fc5988efcc289c8d5e8,create_if_missing
1496d77696814bca8ab7b5d1423b5d5f,10551,国网德阳供电公司综合中心建设场地平整工程（办公大楼恢复）,,正式项目,1,四川保盛建设集团有限公司,3210001,市政工程,1,联营,,,,0,359,c14f8fe2e5ad437fbd438f9954217962,,,,109640,16982985687570001,,,,,,0,,,2170,artifacts/migration/project_create_only_expand_write_result_v1.json,project::1496d77696814bca8ab7b5d1423b5d5f,create_if_missing
14b62e4158d24596a0e04828e39362b5,17539294565280000,旌北13#、14#地块(德阳北站 TOD 及配套基础设施项目室外园林景观工程工程专业分包（大区）,,,1,四川保盛建设集团有限公司,460001,专业分包,1,联营,,,,1,,3a33a2aa6399c222184170b4d982ebd9,,,,223775,17543642811060000,,,,,0,0,,,2171,artifacts/migration/project_create_only_expand_write_result_v1.json,project::14b62e4158d24596a0e04828e39362b5,create_if_missing
14c4325bb56b408788e6f442f4384374,10796,广东南华工商职业学院清远校区二期建设工程 （学生生活区、教学行政区）,,正式项目,1,四川保盛建设集团有限公司,460001,专业分包,1,联营,,,,0,601,26d6d699f53c4f9e836690eb1f666ca8,,,,109433,16982984843680001,,,,,,0,,,2172,artifacts/migration/project_create_only_expand_write_result_v1.json,project::14c4325bb56b408788e6f442f4384374,create_if_missing
14fe0f48d2af4716b1b3b24f8a4286c8,10301,广汉市郑州路东段雨污水管网工程,,正式项目,141,四川保盛建设集团有限公司,400001,市政,1,联营,,,,0,149,26b4628f32e549ccb438e96bd252e4e1,,,,109807,16982986205380000,,,,,,0,,,2173,artifacts/migration/project_create_only_expand_write_result_v1.json,project::14fe0f48d2af4716b1b3b24f8a4286c8,create_if_missing
1524f421b94c41698305394cf8691f44,17586762288880000,中国移动四川公司市州分公司2025年—2028年管理用房及生产枢纽楼公共区域零星维修项目的标包22 天府,,,1,四川保盛建设集团有限公司,420001,装修装饰,1,联营,,,,1,,aa4ba6e78c0a3f9728f6da4b4dade57a,,,,238993,17659359758260000,,,,,0,0,,,2174,artifacts/migration/project_create_only_expand_write_result_v1.json,project::1524f421b94c41698305394cf8691f44,create_if_missing
152f26736dd64da29f1b4f494fcfef41,10700,西昌卷烟厂2021年厂区环境改造工程综合经营业务用房配套设施改造标段,,正式项目,1,四川保盛建设集团有限公司,9430001,装饰装修,1,自营,,,,0,505,fefe94b3d5154b108f6090ebdb2c1cd2,,,,109512,16982984941180001,,,,,,0,,,2175,artifacts/migration/project_create_only_expand_write_result_v1.json,project::152f26736dd64da29f1b4f494fcfef41,create_if_missing
15bc8bfa1f964a609140a3c52c72efaa,10283,重庆江北国际机场飞行区服务综合服务外包项目,重庆江北国际机场飞行区服务综合服务外包项目,正式项目,141,四川保盛建设集团有限公司,5960001,劳务工程,1,联营,,,,0,132,322d6f4534e84d8dafb395782c92a14e,,,,109825,16982986227880000,,,,,,0,,,2176,artifacts/migration/project_create_only_expand_write_result_v1.json,project::15bc8bfa1f964a609140a3c52c72efaa,create_if_missing
15f176434d074d2ab18710410f83bd92,17654237017170000,秦岭山道路项目道路照明专业分包工程,,,1,四川保盛建设集团有限公司,460001,专业分包,1,联营,,,,1,,1388d6a7715f75e7876fa0cc43a213c7,,,,,,,,,,0,1,,,2177,artifacts/migration/project_create_only_expand_write_result_v1.json,project::15f176434d074d2ab18710410f83bd92,create_if_missing
