legacy_project_id,target_lifecycle_state,target_phase_key,target_stage_xmlid
38c01559277a45fb94bb9ed9f5786812,in_progress,execution,smart_construction_core.project_stage_running
38f30547796a4f46886ca433be91fe6d,in_progress,execution,smart_construction_core.project_stage_running
39285206b95d44a08baa37c84a6324ed,in_progress,execution,smart_construction_core.project_stage_running
39a156d94025490fbd873db0c05f3d37,in_progress,execution,smart_construction_core.project_stage_running
39b007f2fcac4bcabaed31c907846e8b,in_progress,execution,smart_construction_core.project_stage_running
39fd0175180d446094aec581afd6d558,in_progress,execution,smart_construction_core.project_stage_running
3a08110abc76473aa8180fc16f9395b7,in_progress,execution,smart_construction_core.project_stage_running
3a2e0ff623244bde8579b35b0c53afad,in_progress,execution,smart_construction_core.project_stage_running
3a74f431115c4b7ba18453ff63ba3053,in_progress,execution,smart_construction_core.project_stage_running
3adb3048f736424e8d5ebd782afd9da0,in_progress,execution,smart_construction_core.project_stage_running
3ae7963b49614ce8ba4c2066b4134452,in_progress,execution,smart_construction_core.project_stage_running
3af445162bf648d5908818cb37d4e006,in_progress,execution,smart_construction_core.project_stage_running
3bad15a1318247b5b6c8250d31dff07f,in_progress,execution,smart_construction_core.project_stage_running
3c67d2421ff24496a410fde08278dcda,in_progress,execution,smart_construction_core.project_stage_running
3ce020ce08294f8dbdb7c86f5d9ba50a,in_progress,execution,smart_construction_core.project_stage_running
3ce2dcf5527242848ef633aa08088b48,in_progress,execution,smart_construction_core.project_stage_running
3d9adf1f35c648e182d821f1fd826589,in_progress,execution,smart_construction_core.project_stage_running
3ddb4ef7f09a4280b7ef904a6f6e5275,in_progress,execution,smart_construction_core.project_stage_running
3ddc904f2c7b43d283abbfa56acf1c43,in_progress,execution,smart_construction_core.project_stage_running
3e1ee921c69441e4abd84185189267dc,in_progress,execution,smart_construction_core.project_stage_running
3f40674fb14b4bcd9225f37b21e5c2d3,in_progress,execution,smart_construction_core.project_stage_running
3ffba2d0c30c466d8e835e1e5b73c165,in_progress,execution,smart_construction_core.project_stage_running
401b1e7a1b11498e92e74070e4b7fbb7,in_progress,execution,smart_construction_core.project_stage_running
4084a60acdd3440bb5503c043ea20f8f,in_progress,execution,smart_construction_core.project_stage_running
409e165a85264d6c9e22085d02dcd09a,in_progress,execution,smart_construction_core.project_stage_running
412983e6b51f4ee294e20096b18c608d,in_progress,execution,smart_construction_core.project_stage_running
417d8d223a784630877b006d8067e142,in_progress,execution,smart_construction_core.project_stage_running
41aca2a81e6c4a9bb7ed5f31a3c42b7b,in_progress,execution,smart_construction_core.project_stage_running
422cc4f78b52472eb1b71ad9ff9200c5,in_progress,execution,smart_construction_core.project_stage_running
4286c6fbba3849cfb7511f2328f88115,in_progress,execution,smart_construction_core.project_stage_running
42bdd94db1f945cf9f7d6d328bd15859,in_progress,execution,smart_construction_core.project_stage_running
432bb7a6a36e4ec38819ec2a5f1e0bff,in_progress,execution,smart_construction_core.project_stage_running
43e058a2dd5943058742f938cc67e10e,in_progress,execution,smart_construction_core.project_stage_running
