contract_id,legacy_contract_id,legacy_project_id,project_id,project_name,partner_id,partner_name,name,subject,type,state,legacy_contract_no,legacy_document_no,legacy_external_contract_no,legacy_status,legacy_deleted_flag,legacy_counterparty_text,line_count,is_locked
1016,b33409da445a4fb882da7237262c4dcc,64f83d6cd91a459c9609c48a8e98889d,2425,国盛莲花湖（1号地块）5.7.8.9.10#楼公共区域室内精装修工程,4917,重庆国盛（物业）集团有限公司,CONIN2600979,国盛莲花湖（1号地块）5.7.8.9.10#楼公共区域室内精装修工程,out,draft,CQS2025-01,WBHTGL-20250106-002,17361496998960000,2,0,重庆国盛（物业）集团有限公司,0,False
1017,b33c5ea95b284ca9a750a9a51b222b9e,a2ed40b404af4ce0b9256320d9d0ea9c,2606,白马关镇接引村“三格式+人工湿地”集中式生活污水处理设施项目,4389,德阳市罗江区白马关镇人民政府,CONIN2600980,白马关镇接引村“三格式+人工湿地”集中式生活污水处理设施项目,out,draft,DYS2022-18,WBHTGL-20220119-002,1000000596,2,,德阳市罗江区白马关镇人民政府,0,False
1018,b36a1be8338f41dfb8b18b1e5f28b8d4,d673283d7f064228aa3bcdb822c8d425,2741,中建四局集团-唐颖刚项目,5788,中建四局第一建设有限公司,CONIN2600981,广州市花都区人民法院审判业务用房室内装修和配套工程】项目【园林园建】工程,out,draft,GZS2023-41,WBHTGL-20230506-001,1000000923,2,0,中建四局第一建设有限公司,0,False
1019,b36c45ed90f34a809dac9f823715da43,4c749e69caeb45ec9708bf4db81cde17,2352,罗江区2022年暴雨洪灾水毁灾后重建覆岸覆土工程-凯江段新增杂草、杂树清理施工劳务,5846,四川纹江致远建筑开发工程有限公司,CONIN2600982,罗江区2022年暴雨洪灾水毁灾后重建覆岸覆土工程-凯江段新增杂草、杂树清理施工劳务,out,draft,DYS2022-21,WBHTGL-20220124-001,1000000604,2,,四川纹江致远建筑开发工程有限公司,0,False
1020,b39b667ec6be49b0a6de3b772833c472,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,向东工程,5871,德阳市供水安装工程队,CONIN2600983,北江街39号分户工程,out,draft,DYS2022-16-24,WBHTGL-20220726-002,1000000699,2,,德阳市供水安装工程队,0,False
1021,b3aed05a8a804795a6aa2e77e37aa451,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,向东工程,5871,德阳市供水安装工程队,CONIN2600984,广厦房产关闭自备水工程,out,draft,DYS2022-16-37,WBHTGL-20220726-015,1000000712,2,,德阳市供水安装工程队,0,False
1022,b41ede0a6a4543e5b351ab070b70ff45,7454e9d853394d9991f8bf3b110b2e2a,2462,四川省德阳市罗江区2019年元宝山片区高标准农田建设项目（一标段）,4382,德阳市罗江区农业农村局,CONIN2600985,罗江区2019年元宝山片区高标准农田,out,draft,DYS2019-58,WBHTGL-20200228-006,1000000033,2,,德阳市罗江区农业农村局,0,False
1023,b4429b2e0aed49a1b727fc0fd4d12445,b7f07bc4b72c4cd29b5d1b445b499386,2661,工程学院零星项目,3935,四川工程职业技术学院,CONIN2600986,2021技能大赛前L实训及焊接车间周边平场项目,out,draft,DYS2021-13-24,WBHTGL-20211112-001,1000000542,2,,四川工程职业技术学院,0,False
1024,b476621621f34ee49eb056724e7d4b3e,6b4e37cd90a94055a69de211efdab846,2444,易静工程（德阳二重工程项目）,3663,中国第二重型机械集团德阳万航模锻有限责任公司,CONIN2600987,机加厂-围墙整治工程,out,draft,DYS2025-101,WBHTGL-20250704-005,17516095003250000,2,0,中国第二重型机械集团德阳万航模锻有限责任公司,0,False
1025,b4a0913168674c0ba53b2eb4f040b939,febf7841fc634ae09dfed83a425979a4,2857,成青路（S105）、河黄路、子汉路路面维修工程,4061,四川金顺达公路工程有限责任公司,CONIN2600988,成青路（S105）、河黄路、子汉路路面维修工程,out,draft,MYS2022-55,WBHTGL-20220713-001,1000000687,2,,四川金顺达公路工程有限责任公司,0,False
