model,description,count,actions,views,present_pairs,visible_pairs,with_creator,with_time,technical_creator,technical_time,non_business_creator,source_backfill_gaps,accepted_entry_mismatches,state
project.cost.code,项目成本科目,13,1,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
project.cost.ledger,项目成本台账,73068,3,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
project.dictionary,工程项目数据字典,0,7,14,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
project.funding.baseline,Project Funding Baseline,1,2,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",1,1,0,0,0,0,0,ok_visible
project.material.plan,物资计划,687,3,10,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",677,687,0,0,0,0,0,ok_visible
project.milestone,Project Milestone,0,0,4,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
project.progress.entry,项目进度计量记录,0,2,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
project.project,项目,923,14,22,"[""legacy_source_created_by/legacy_source_created_at""]","[""legacy_source_created_by/legacy_source_created_at"", ""source_created_by/source_created_at""]",820,835,0,0,0,,0,ok_visible
project.project.stage,项目阶段,11,1,8,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
sc.approval.policy,业务审批规则,14,1,4,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
sc.approval.scope,审批岗位人员,17,1,4,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
sc.attendance.checkin,考勤记录,0,1,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
sc.business.entity,业务核算主体,11077,3,9,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
sc.check.standard,检查标准,0,1,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
sc.check.standard.item,检查标准项,0,1,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
sc.construction.diary,施工日志,8898,5,12,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",8897,8898,0,0,0,0,0,ok_visible
