external_id,name,company_type,is_company,vat,phone,email,legacy_partner_id,legacy_partner_source,legacy_partner_name,legacy_credit_code,legacy_tax_no,legacy_source_evidence,source_bucket,requested_partner_id
legacy_partner_sc_7353bbc774844d3ea2449d022d1f1332,朔州市现强商贸有限公司,company,1,91140602MA0L1G8G7C,,,7353bbc774844d3ea2449d022d1f1332,cooperat_company,朔州市现强商贸有限公司,91140602MA0L1G8G7C,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,7353bbc774844d3ea2449d022d1f1332
legacy_partner_sc_7369da154e724f76bca7f8142b9f86cc,重庆烈面石油有限公司,company,1,91500112MAABUC626J,,,7369da154e724f76bca7f8142b9f86cc,company_supplier,重庆烈面石油有限公司,,91500112MAABUC626J,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,7369da154e724f76bca7f8142b9f86cc
legacy_partner_sc_737405bd661b48dd87e8f27de0d45a4f,德阳市区旌达信息技术服务部,company,1,,,,737405bd661b48dd87e8f27de0d45a4f,company_supplier,德阳市区旌达信息技术服务部,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,737405bd661b48dd87e8f27de0d45a4f
legacy_partner_sc_73779a1095a947958d51b8ce420c28a6,四川博钰诚建筑工程有限公司,company,1,91510722MAC2MP2Q45,,,73779a1095a947958d51b8ce420c28a6,company_supplier,四川博钰诚建筑工程有限公司,,91510722MAC2MP2Q45,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,73779a1095a947958d51b8ce420c28a6
legacy_partner_sc_738ae07f0988418aa5b737380000bc34,任丘市瑞创电力器材有限公司,company,1,91130982MA08CGU554,,,738ae07f0988418aa5b737380000bc34,cooperat_company,任丘市瑞创电力器材有限公司,91130982MA08CGU554,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,738ae07f0988418aa5b737380000bc34
legacy_partner_sc_739b14660ed34f1ab13d66f86c40bb04,广西丰宏木业有限公司,company,1,91451302MAEGXQMF0K,,,739b14660ed34f1ab13d66f86c40bb04,cooperat_company,广西丰宏木业有限公司,91451302MAEGXQMF0K,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,739b14660ed34f1ab13d66f86c40bb04
legacy_partner_sc_73ca0f1f16be40ecb4c36cc9ddf64bbe,新疆致通和能源有限公司,company,1,91653101MA77N24B2T,,,73ca0f1f16be40ecb4c36cc9ddf64bbe,cooperat_company,新疆致通和能源有限公司,91653101MA77N24B2T,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,73ca0f1f16be40ecb4c36cc9ddf64bbe
legacy_partner_sc_73dd090f3a324fa191b72887e900f366,德阳开发区固德五金店,company,1,,,,73dd090f3a324fa191b72887e900f366,company_supplier,德阳开发区固德五金店,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,73dd090f3a324fa191b72887e900f366
legacy_partner_sc_73e32455d4884050be27d77edcf89acf,德阳市福宾加油站,company,1,,,,73e32455d4884050be27d77edcf89acf,company_supplier,德阳市福宾加油站,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,73e32455d4884050be27d77edcf89acf
legacy_partner_sc_7405ac85812f4e628966c2a243807353,新疆昶丰源建材有限公司,company,1,91653101MA78JQMU7X,,,7405ac85812f4e628966c2a243807353,cooperat_company,新疆昶丰源建材有限公司,91653101MA78JQMU7X,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,7405ac85812f4e628966c2a243807353
