legacy_project_id,contract_rows,source_project_rows,active_source_project_rows,source_project_name,source_project_deleted,source_project_state,sample_contract_id,sample_contract_subject,recovery_route,recovery_note
c3bacf1323754d2697a93513da8d17b9,1,0,0,,,,05f6df8d77ea403784506ac9bf691829,德阳市旌阳区八角井镇卫生院-停车场改造,legacy_project_source_missing,legacy project id is not present in project.csv
c51e7bbecb1b48ed98b9233b868d4722,1,0,0,,,,a54a84a458b446c7bf8716ea6ec38397,孝感镇公租房,legacy_project_source_missing,legacy project id is not present in project.csv
c60695931b894e94b2c2011981c6a9e6,1,0,0,,,,48e166c43a3c4f5ab54a6ed2f2ba86a1,四川美丰化工股份有限公司燃气报警系统安装工程,legacy_project_source_missing,legacy project id is not present in project.csv
c61a4566cd554630adf3359de5f449d6,1,0,0,,,,4eec9aefce68418eab4c63c67bb75f57,珠峰文化旅游创意产业园区基础设施建设项目一期工程第三标段,legacy_project_source_missing,legacy project id is not present in project.csv
c6b822e1ec8745308312185093138315,1,0,0,,,,7cb675fec0714d6884cc8bc8bc441c85,雷波县卡哈洛乡卡坪小学教学楼,legacy_project_source_missing,legacy project id is not present in project.csv
d235db1a8f3046d597923c51000171db,1,0,0,,,,365adf197caa4590bb71e2fd5b6fc8d0,龙泉山路（黄河路至青衣江路）改造工程（路面工程）,legacy_project_source_missing,legacy project id is not present in project.csv
d2a0856f5ad740f795f731b8df71da33,1,0,0,,,,fff7ba422c5c4ce1bad13bf0b8e6b0d2,2020年度高阳街道横路村3组、移民组烤房群修复项目 （二标段）,legacy_project_source_missing,legacy project id is not present in project.csv
d2cb12958169456cbae3dc3774429324,1,0,0,,,,caabdcb715044ff2bc2c6b85674e1ae0,烤房群修复,legacy_project_source_missing,legacy project id is not present in project.csv
d3759d3a4e424927a13bb09d91e84d16,1,0,0,,,,df03a87ebd4044c9b82b5197d26ea5b4,青山巷汽修厂下水道改造项目,legacy_project_source_missing,legacy project id is not present in project.csv
d72db63b01a1421f9eef4ac2ec9a0b9e,1,0,0,,,,7125b2eb8e73405487359fe624a54b55,布拖县2019年校舍维修改造,legacy_project_source_missing,legacy project id is not present in project.csv
de6b06f368bc4583ba6847755ea921e2,6,0,0,,,,003b7c3a05c24aa7a4812bbb24cc566f,WBHTGL-20200226-006,legacy_project_source_missing,legacy project id is not present in project.csv
e8bb5a0644634227919cb6770b389d3f,1,0,0,,,,ebd1d41d98a34714beb7ce5d05269083,2021年中江县辑庆镇尖寨村中药材园区四升五产村相融建设项目,legacy_project_source_missing,legacy project id is not present in project.csv
e9308fc1ac5e4dc6bf0584c002b96347,2,0,0,,,,4bb761605d9742c1bde953ae39deec34,德溪乡司法所,legacy_project_source_missing,legacy project id is not present in project.csv
