external_id,legacy_payment_request_id,name,ledger_amount,actual_outflow_count,actual_outflow_amount,sample_downstream_external_ids,target_state,target_validation_status,business_fact
legacy_outflow_sc_0188719f01274a7cb9b49b3c65cae719,5429,PRQ2605429,1252.00,1,1252.00,legacy_actual_outflow_sc_3b91f6e2f51049119924c67be044e633,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_018bbef0fac24ef499ecfa1050831d36,5430,PRQ2605430,90000.00,1,90000.00,legacy_actual_outflow_sc_63f57af9d3db45809980052008dda182,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_018c271c9dcd4b3886161d687698461e,5431,PRQ2605431,93500.00,1,93500.00,legacy_actual_outflow_sc_e8459c035e19401daf40f88c91039b3c,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_01906b8530944397a7595828eaefe9a9,5432,PRQ2605432,3372.00,1,3372.00,legacy_actual_outflow_sc_4658af16f82d4faf8af8326be08ad173,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0196460a0af945f980c85f19dda793c4,5433,PRQ2605433,100000.00,1,100000.00,legacy_actual_outflow_sc_c3aa63044c354e0c9f0d651f0d2fdeae,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_01983a7d2bc849ffba5e9bc9b5b69baa,5434,PRQ2605434,23375.00,1,23375.00,legacy_actual_outflow_sc_b4ff6636422c4fc6afaa004f6621ea2a,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_019a04ae4e104818b2797ef96610be71,5435,PRQ2605435,219500.00,1,219500.00,legacy_actual_outflow_sc_21c1b1b70d8c4fb884353d0e5f35ff34,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_01a73d87df7446368a781c1e5f96aeb8,5436,PRQ2605436,9636.00,1,9636.00,legacy_actual_outflow_sc_e4e6a910ccae490098ac5d5942c423a2,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_01b5617d73414ee18dd995fad2ed766e,5437,PRQ2605437,100000.00,1,100000.00,legacy_actual_outflow_sc_ca2b9f953b2446f98963011a218bca13,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_01b7a68857044a6e83909b463fb06a96,5438,PRQ2605438,66243.79,1,66243.79,legacy_actual_outflow_sc_6a55052789b34e0bbc469e9202b3fc40,done,validated,historical_paid_by_downstream_business_fact
