id,legacy_project_id,name,lifecycle_state,stage_id,stage_name,other_system_id,other_system_code
2190,19b80dff5f32439cbbf6a31107f05832,金谷油脂项目进场道路工程二标段,draft,5,筹备中,109517,16982984947270000
2191,1a27d87129a543c5939e8a5129b75f63,万航模锻有限公司配电系统扩容工程,draft,5,筹备中,,
2192,1abe1430e27d4765b61cf3ae4b341c24,凯州新城城乡一体化项目配套建设工程钢结构工程专业分包（第二次）,draft,5,筹备中,109426,16982984835550000
2193,1aca2027a967401792f1c4b18ef02451,自贡航空产业园航空大道南延线二标段（K1+860-K2+670）施工劳务,draft,5,筹备中,109624,16982985667260001
2194,1aef1f14fbf64e46a61e70d6cef5955f,龙岗001-20井气田水回注安装工程,draft,5,筹备中,109478,16982984898680001
2195,1b714bfd78a14049b98c6f2b8a63073e,合阳城街道2024年老旧小区改造工程(二期),draft,5,筹备中,259221,17702768834390001
2196,1b94da17ad1a42c291a59a5ec6d4996b,2025年西南石油工程公司钻前辅助工程劳务框架招标（5标段：中江、孝泉等地区）项目,draft,5,筹备中,212782,17468599332200001
2197,1bc8c1acc81d4a47af1318a718bf72db,东河农贸市场场内厕所改造,draft,5,筹备中,115128,17018337586380000
2198,1ce3b31d6d8544479618158ea59ed160,中国移动四川分公司成都片区2018-2020年渠道零星维修项目（标包1）,draft,5,筹备中,109769,16982986157570001
2199,1ceeb10c5d5745879b20d438e2e69534,德阳黄河路（黄山路至秦岭山路）提档升级改造工程等7个基础设施建设项目融资 EPC工程绵远河（青衣江路大桥至钱塘江路大桥）生态整治工程（园路JLC）分包合同,draft,5,筹备中,109670,16982985728200000
2200,1d23f106099449a0a88894c9f5458efa,德阳市什邡市社会福利救助中心护理能力提档升级项目,draft,5,筹备中,109402,16982984803050001
2201,1d69b18850554e28b5c4b4f8c7c83e77,百合公园维修工程,draft,5,筹备中,109405,16982984806650001
2202,1d7c02e968a146e3ac209f95ac712682,德阳市烈士陵园建设项目专业分包（总平）,draft,5,筹备中,109460,16982984876490001
2203,1da16136281c46fc9fb1d3038e68f983,石船镇农村公路（关兴村）井环路堡坎修复工程,draft,5,筹备中,237382,17633638566350000
2204,1e7aa5f1a92e46b1a4385a5daac440a6,中国移动四川公司乐山分公司2020-2022年渠道维修采购项目框架协议,draft,5,筹备中,109704,16982985770070001
2205,1e8cf6baef1d4627adb1a1d68231ba1e,中铁八局集团有限公司德阳经开区市政道路工程项目(齐湖路、黔江街)土石方工程,draft,5,筹备中,168385,17177223029440000
2206,1f0d1455b090418eb292f359a8a19caf,德阳太行山路（钱塘江路-信江路）道路工程,draft,5,筹备中,,
