counterparty_text,normalized_name,contract_rows,match_type,recommended_action,manual_confirm_required,auto_create_allowed,existing_partner_hint,company_candidate_count,supplier_candidate_count,source,source_id,source_name,source_short_name,source_code,source_address,source_contact,source_phone,confirm_result,confirmed_partner_action,confirmed_source,confirmed_source_id,review_note
玖龙纸业（重庆）有限公司,玖龙纸业重庆,3,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,93E4EAA3B631441A8ABB1B75A65DBBC0,玖龙纸业（重庆）有限公司,,,,,,,,,,
中国移动通信集团四川有限公司天府新区分公司,中国移动通信集团四川有限公司天府新区分,3,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,0E6294EEDE0C421EA16938E0E1D1DF55,中国移动通信集团四川有限公司天府新区分公司,,,,,,,,,,
中国石油天然气第七建设有限公司,中国石油天然气第七建设,3,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,1459E0CA0CFD444C8B5212B596490A04,中国石油天然气第七建设有限公司,,,,,,,,,,
四川省第一建筑工程有限公司,四川省第一建筑工程,3,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,31C4952941CA49B5A0B2ECB7FD07DDAB,四川省第一建筑工程有限公司,,,,,,,,,,
四川省第六建筑有限公司,四川省第六建筑,3,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,2D635F3D64D8428A863BE03E0CBA8C68,四川省第六建筑有限公司,,,,,,,,,,
中国移动通信集团四川有限公司南充分公司,中国移动通信集团四川有限公司南充分,3,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,840C13AEDE5E4CF392C157701066B95E,中国移动通信集团四川有限公司南充分公司,,,,,,,,,,
中国铁建大桥工程局集团有限公司,中国铁建大桥工程局,3,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,57822067795845d7802849576225ad53,中国铁建大桥工程局集团有限公司,,,,,,,,,,
绵阳市安州区建投矿业有限公司,绵阳市安州区建投矿业,3,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,968CF9376A1E4377B78AA53E219A3581,绵阳市安州区建投矿业有限公司,,,,,,,,,,
国网新疆电力有限公司喀什供电公司,国网新疆电力有限公司喀什供电,3,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,3e5dfb41a1f0455abcc5b42a079c1353,国网新疆电力有限公司喀什供电公司,,,,,,,,,,
金科智慧服务集团股份有限公司重庆分公司,金科智慧服务集团股份有限公司重庆分,3,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,2021827911464D40BAD77CE8F43D6D4A,金科智慧服务集团股份有限公司重庆分公司,,,,,,,,,,
