coverage_state,legacy_material_id,material_name,spec_model,uom_text,line_rows,header_rows,qty,amount,target_material_catalog_id,target_catalog_name,target_spec_model,target_uom_text,exact_text_catalog_id,exact_text_match_count,name_spec_catalog_id,name_spec_match_count,has_promoted_product
catalog_ready_by_legacy_id,1113eee7facf48b282d2887f25ef19f2,水泥,42.5袋装,吨,7,7,1426.0000,519495.00,6840689,水泥,42.5袋装,吨,6840689,1,6840689,1,no
catalog_ready_by_legacy_id,df94bafca71c45c788f7f3b998ea4f83,花岗石透水砖,芝麻灰荔枝面 5cm厚,m2,1,1,2401.7800,512651.29,6840690,花岗石透水砖,芝麻灰荔枝面 5cm厚,m2,6840690,1,6840690,1,no
catalog_ready_by_legacy_id,cf3c336ad94744ba9fb1e0b97626d3b1,汉白玉栏杆,,米,6,6,486.6050,495285.00,6840691,汉白玉栏杆,,米,6840691,1,6840691,1,no
catalog_ready_by_legacy_id,eeab71bc7b5448f198ccc88d1b1e0a89,商品混凝土,C25,m3,6,6,1125.0000,482192.68,6840692,商品混凝土,C25,m3,6840692,1,6840665,2,no
catalog_ready_by_legacy_id,8d3c135ba8394646b7f99c495570ba1f,电线电缆WDZN-YJV,5*25,M,5,4,5711.0000,468602.00,6840693,电线电缆WDZN-YJV,5*25,M,6840693,1,6840693,1,no
catalog_ready_by_legacy_id,515fa5829f154642b97cab5400b4c3c5,螺纹钢HRB400E,16,吨,3,3,122.3880,448076.49,6840694,螺纹钢HRB400E,16,吨,6840694,1,6840694,1,no
catalog_ready_by_legacy_id,95b248d9069d4eaaa01084dfdd9e9e18,HDPE钢带增强聚乙烯螺旋波纹管,DN1600SN≥10,m,1,1,300.0000,436500.00,6840695,HDPE钢带增强聚乙烯螺旋波纹管,DN1600SN≥10,m,6840695,1,6840695,1,no
catalog_ready_by_legacy_id,db6b43eb0ac949b8a20290daae159226,沥青混凝土,AC-16C,立方米,1,1,398.2700,425495.74,6840696,沥青混凝土,AC-16C,立方米,6840696,1,6840696,1,no
catalog_ready_by_legacy_id,eb4c2881afc5489ebb01d48999b4587b,商品混泥土,C30,立方米,1,1,980.0000,411600.00,6840697,商品混泥土,C30,立方米,6840697,1,6840697,1,no
catalog_ready_by_legacy_id,de4f4a2ac5304ddeacef70ebd49a0317,盘螺 HRB400E,Ф8,吨,2,1,86.4426,402450.63,6840698,盘螺 HRB400E,Ф8,吨,6840698,1,6840698,1,no
